name,age,height,position,nationality,berater,market_value
Erling Haaland,Geb./Alter: 21.07.2000 (23),"Größe: 1,95 m",Position: Mittelstürmer,Nationalität: Norwegen,"Berater:
Rafaela Pimenta","180,00 Mio. € "
Bukayo Saka,Geb./Alter: 05.09.2001 (22),"Größe: 1,78 m",Position: Rechtsaußen,Nationalität: England,,"120,00 Mio. € "
Phil Foden,Geb./Alter: 28.05.2000 (23),"Größe: 1,71 m",Position: Rechtsaußen,Nationalität: England,,"110,00 Mio. € "
Declan Rice,Geb./Alter: 14.01.1999 (24),"Größe: 1,88 m",Position: Defensives Mittelfeld,Nationalität: England,,"100,00 Mio. € "
Rodri,Geb./Alter: 22.06.1996 (27),"Größe: 1,91 m",Position: Defensives Mittelfeld,Nationalität: Spanien,,"100,00 Mio. € "
Martin Ødegaard,Geb./Alter: 17.12.1998 (24),"Größe: 1,78 m",Position: Offensives Mittelfeld,Nationalität: Norwegen,"Berater:
Nordic Sky","90,00 Mio. € "
Moisés Caicedo,Geb./Alter: 02.11.2001 (22),"Größe: 1,78 m",Position: Defensives Mittelfeld,Nationalität: Ecuador,"Berater:
FOOTBALL DIVISION ...","90,00 Mio. € "
Bruno Guimarães,Geb./Alter: 16.11.1997 (26),"Größe: 1,82 m",Position: Defensives Mittelfeld,Nationalität: Brasilien,,"85,00 Mio. € "
Bernardo Silva,Geb./Alter: 10.08.1994 (29),"Größe: 1,73 m",Position: Offensives Mittelfeld,Nationalität: Portugal,"Berater:
Gestifute","80,00 Mio. € "
Rúben Dias,Geb./Alter: 14.05.1997 (26),"Größe: 1,87 m",Position: Innenverteidiger,Nationalität: Portugal,"Berater:
Gestifute","80,00 Mio. € "
Enzo Fernández,Geb./Alter: 17.01.2001 (22),"Größe: 1,78 m",Position: Zentrales Mittelfeld,Nationalität: Argentinien,,"80,00 Mio. € "
Christopher Nkunku,Geb./Alter: 14.11.1997 (26),"Größe: 1,78 m",Position: Offensives Mittelfeld,Nationalität: Frankreich,,"80,00 Mio. € "
Josko Gvardiol,Geb./Alter: 23.01.2002 (21),"Größe: 1,85 m",Position: Innenverteidiger,Nationalität: Kroatien,,"80,00 Mio. € "
Julián Álvarez,Geb./Alter: 31.01.2000 (23),"Größe: 1,70 m",Position: Hängende Spitze,Nationalität: Argentinien,,"80,00 Mio. € "
Gabriel Martinelli,Geb./Alter: 18.06.2001 (22),"Größe: 1,78 m",Position: Linksaußen,Nationalität: Brasilien,"Berater:
Roc Nation Sports","80,00 Mio. € "
Marcus Rashford,Geb./Alter: 31.10.1997 (26),"Größe: 1,85 m",Position: Linksaußen,Nationalität: England,,"75,00 Mio. € "
Luis Díaz,Geb./Alter: 13.01.1997 (26),"Größe: 1,80 m",Position: Linksaußen,Nationalität: Kolumbien,,"75,00 Mio. € "
Gabriel Jesus,Geb./Alter: 03.04.1997 (26),"Größe: 1,75 m",Position: Mittelstürmer,Nationalität: Brasilien,,"75,00 Mio. € "
Jack Grealish,Geb./Alter: 10.09.1995 (28),"Größe: 1,80 m",Position: Linksaußen,Nationalität: England,"Berater:
CAA Stellar","75,00 Mio. € "
Bruno Fernandes,Geb./Alter: 08.09.1994 (29),"Größe: 1,79 m",Position: Offensives Mittelfeld,Nationalität: Portugal,"Berater:
MRP.POSITIONUMBER","75,00 Mio. € "
Kevin De Bruyne,Geb./Alter: 28.06.1991 (32),"Größe: 1,81 m",Position: Offensives Mittelfeld,Nationalität: Belgien,"Berater:
Roc Nation Sports","70,00 Mio. € "
Alexander Isak,Geb./Alter: 21.09.1999 (24),"Größe: 1,92 m",Position: Mittelstürmer,Nationalität: Schweden,,"70,00 Mio. € "
William Saliba,Geb./Alter: 24.03.2001 (22),"Größe: 1,92 m",Position: Innenverteidiger,Nationalität: Frankreich,"Berater:
ND SPORTS MANAGEMENT","70,00 Mio. € "
James Maddison,Geb./Alter: 23.11.1996 (27),"Größe: 1,75 m",Position: Offensives Mittelfeld,Nationalität: England,,"70,00 Mio. € "
Dominik Szoboszlai,Geb./Alter: 25.10.2000 (23),"Größe: 1,87 m",Position: Zentrales Mittelfeld,Nationalität: Ungarn,,"70,00 Mio. € "
