,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_positive,params_tol,state
0,0,26192.19415362568,2024-03-30 15:13:16.989021,2024-03-30 15:13:16.995208,0 days 00:00:00.006187,0.6964691855978616,0.28613933495037946,2744,False,7.01799283113844e-05,COMPLETE
1,1,26302.637741241222,2024-03-30 15:13:16.996947,2024-03-30 15:13:17.002179,0 days 00:00:00.005232,0.9807641983846155,0.6848297385848633,484,True,0.00028714378103928377,COMPLETE
2,2,26153.098784606816,2024-03-30 15:13:17.003729,2024-03-30 15:13:17.008945,0 days 00:00:00.005216,0.4385722446796244,0.05967789660956835,231,False,2.2433834533274747e-05,COMPLETE
3,3,26099.09717111968,2024-03-30 15:13:17.010772,2024-03-30 15:13:17.016334,0 days 00:00:00.005562,0.5315513738418384,0.5318275870968661,2808,False,0.00016674277362987863,COMPLETE
4,4,26363.53522878533,2024-03-30 15:13:17.018128,2024-03-30 15:13:17.023404,0 days 00:00:00.005276,0.7224433825702216,0.3229589138531782,385,True,0.0001827899220785679,COMPLETE
5,5,26049.691726748944,2024-03-30 15:13:17.025062,2024-03-30 15:13:17.030584,0 days 00:00:00.005522,0.09210493994507518,0.43370117267952824,709,False,4.212330570736679e-05,COMPLETE
6,6,26228.062448445282,2024-03-30 15:13:17.032728,2024-03-30 15:13:17.038037,0 days 00:00:00.005309,0.4263513069628082,0.8933891631171348,1766,True,1.7030868284599993e-05,COMPLETE
7,7,26256.57356868635,2024-03-30 15:13:17.040234,2024-03-30 15:13:17.046089,0 days 00:00:00.005855,0.3172854818203209,0.4148262119536318,922,True,0.0009356632482180258,COMPLETE
8,8,26084.403995998917,2024-03-30 15:13:17.048096,2024-03-30 15:13:17.053595,0 days 00:00:00.005499,0.5194851192598093,0.6128945257629677,1604,False,0.00012306541283893792,COMPLETE
9,9,26093.399000909936,2024-03-30 15:13:17.055210,2024-03-30 15:13:17.060656,0 days 00:00:00.005446,0.3427638337743084,0.3041207890271841,5632,False,0.00010491671278319497,COMPLETE
10,10,26052.444438356008,2024-03-30 15:13:17.062991,2024-03-30 15:13:17.091321,0 days 00:00:00.028330,0.06889158546742416,0.9863798222314493,103,False,4.368893874919379e-05,COMPLETE
11,11,26064.033983293488,2024-03-30 15:13:17.094507,2024-03-30 15:13:17.126520,0 days 00:00:00.032013,0.006453374219829056,0.9444656052010494,110,False,3.5415564121989416e-05,COMPLETE
12,12,26042.58413262592,2024-03-30 15:13:17.128659,2024-03-30 15:13:17.149131,0 days 00:00:00.020472,0.1049152166318279,0.7522550118761866,101,False,1.0878866376925217e-05,COMPLETE
13,13,26048.266751910374,2024-03-30 15:13:17.151021,2024-03-30 15:13:17.175467,0 days 00:00:00.024446,0.19232207105154253,0.7278259329003384,249,False,1.0768485034484211e-05,COMPLETE
14,14,26045.68392490088,2024-03-30 15:13:17.177627,2024-03-30 15:13:17.208742,0 days 00:00:00.031115,0.1753882956542422,0.7767377450242181,189,False,1.0170803688691841e-05,COMPLETE
15,15,26044.836157119757,2024-03-30 15:13:17.210555,2024-03-30 15:13:17.236142,0 days 00:00:00.025587,0.1962357234564711,0.8160591907654154,168,False,1.010115367316361e-05,COMPLETE
16,16,26044.695223702336,2024-03-30 15:13:17.237588,2024-03-30 15:13:17.256332,0 days 00:00:00.018744,0.20925744353235717,0.8414149107253112,101,False,2.0584926956795804e-05,COMPLETE
17,17,26062.148254369356,2024-03-30 15:13:17.257573,2024-03-30 15:13:17.277321,0 days 00:00:00.019748,0.005978209644977167,0.8744399378075134,107,False,2.0570869214387032e-05,COMPLETE
18,18,26607.691332999566,2024-03-30 15:13:17.279153,2024-03-30 15:13:17.293988,0 days 00:00:00.014835,0.271512713714735,0.6641304820414992,321,True,2.056327170597928e-05,PRUNED
19,19,26041.05622982059,2024-03-30 15:13:17.295426,2024-03-30 15:13:17.313230,0 days 00:00:00.017804,0.13259277906516953,0.8182366901913751,507,False,3.1589182972600855e-05,COMPLETE
20,20,26051.228403183166,2024-03-30 15:13:17.314695,2024-03-30 15:13:17.334717,0 days 00:00:00.020022,0.10910413121754992,0.994855011386929,402,False,3.2700238361249936e-05,COMPLETE
21,21,24411.40204853707,2024-03-30 15:13:17.336128,2024-03-30 15:13:17.353222,0 days 00:00:00.017094,0.24081557171204956,0.8014024179673278,169,False,1.5358986308133715e-05,PRUNED
22,22,26040.455928247775,2024-03-30 15:13:17.354354,2024-03-30 15:13:17.371145,0 days 00:00:00.016791,0.1525563597193584,0.849097536018296,541,False,2.585206981598495e-05,COMPLETE
23,23,26046.028884515716,2024-03-30 15:13:17.372253,2024-03-30 15:13:17.389676,0 days 00:00:00.017423,0.12955289287015526,0.7514780220575703,609,False,2.8705423117628808e-05,COMPLETE
24,24,26084.433068359183,2024-03-30 15:13:17.390829,2024-03-30 15:13:17.412053,0 days 00:00:00.021224,0.0018730592122092604,0.8493483603573282,619,False,5.495129838658247e-05,COMPLETE
25,25,26043.099530576128,2024-03-30 15:13:17.413781,2024-03-30 15:13:17.432300,0 days 00:00:00.018519,0.12215069795075262,0.9035193606967687,355,False,1.4184182786949142e-05,COMPLETE
26,26,26613.941981262127,2024-03-30 15:13:17.433598,2024-03-30 15:13:17.448243,0 days 00:00:00.014645,0.06634777465989264,0.6155848658753359,983,True,2.6125682960114055e-05,PRUNED
27,27,26201.57383287596,2024-03-30 15:13:17.449388,2024-03-30 15:13:17.463753,0 days 00:00:00.014365,0.266765020971394,0.754209802620434,481,False,1.3883535699765547e-05,PRUNED
28,28,26040.87144932112,2024-03-30 15:13:17.465000,2024-03-30 15:13:17.482662,0 days 00:00:00.017662,0.14935566003678316,0.9259352166092387,228,False,2.7660140053900263e-05,COMPLETE
29,29,26037.70412896472,2024-03-30 15:13:17.483911,2024-03-30 15:13:17.501056,0 days 00:00:00.017145,0.1675073072070449,0.9264081390247195,277,False,6.030170650150352e-05,COMPLETE
30,30,24385.40058877196,2024-03-30 15:13:17.502372,2024-03-30 15:13:17.519557,0 days 00:00:00.017185,0.3390365434255592,0.9295462109346586,312,False,6.858333077802677e-05,PRUNED
31,31,26046.700844023075,2024-03-30 15:13:17.520786,2024-03-30 15:13:17.539736,0 days 00:00:00.018950,0.16009902485295113,0.9958702433856649,278,False,5.2906296652974054e-05,COMPLETE
32,32,26038.543913967045,2024-03-30 15:13:17.540920,2024-03-30 15:13:17.559922,0 days 00:00:00.019002,0.17196100864438163,0.9137152301235119,568,False,3.362756683283639e-05,COMPLETE
