,player,nationality,classic_rating,rapid_rating,blitz_rating,sex,birth_year
0,"Carlsen, Magnus",NOR,2835,2858,2858,Male,1990
1,"Nakamura, Hikaru",USA,2787,2874,2874,Male,1987
2,"Caruana, Fabiano",USA,2782,2832,2832,Male,1992
3,"Ding, Liren",CHN,2780,2787,2787,Male,1992
4,"Nepomniachtchi, Ian",RUS,2779,2781,2781,Male,1990
5,"Firouzja, Alireza",FRA,2777,2896,2896,Male,2003
6,"Giri, Anish",NED,2775,2760,2760,Male,1994
7,"So, Wesley",USA,2769,2765,2765,Male,1993
8,"Anand, Viswanathan",IND,2754,2733,2733,Male,1969
9,"Rapport, Richard",ROU,2752,2707,2707,Male,1996
10,"Karjakin, Sergey",RUS,2750,2647,2647,Male,1990
11,"Radjabov, Teimour",AZE,2747,2707,2707,Male,1987
12,Gukesh D,IND,2744,2626,2626,Male,2006
13,"Mamedyarov, Shakhriyar",AZE,2742,2722,2722,Male,1985
14,"Aronian, Levon",USA,2742,2778,2778,Male,1982
15,"Vachier-Lagrave, Maxime",FRA,2739,2739,2739,Male,1990
16,"Dominguez Perez, Leinier",USA,2739,2654,2654,Male,1983
17,"Grischuk, Alexander",RUS,2736,2721,2721,Male,1983
18,"Yu, Yangyi",CHN,2735,2770,2770,Male,1994
19,"Duda, Jan-Krzysztof",POL,2732,2783,2783,Male,1998
20,"Le, Quang Liem",VIE,2728,2643,2643,Male,1991
21,"Topalov, Veselin",BUL,2727,2657,2657,Male,1975
22,"Wei, Yi",CHN,2726,2686,2686,Male,1999
23,"Abdusattorov, Nodirbek",UZB,2725,2708,2708,Male,2004
24,"Vitiugov, Nikita",FID,2720,2673,2673,Male,1987
25,"Maghsoodloo, Parham",IRI,2719,2652,2652,Male,2000
26,"Vidit, Santosh Gujrathi",IND,2719,2631,2631,Male,1994
27,"Dubov, Daniil",RUS,2716,2793,2793,Male,1996
28,"Shankland, Sam",USA,2711,2668,2668,Male,1991
29,Erigaisi Arjun,IND,2710,2710,2710,Male,2003
30,"Wang, Hao",CHN,2709,2624,2624,Male,1989
31,"Harikrishna, Pentala",IND,2708,2634,2634,Male,1986
32,"Vallejo Pons, Francisco",ESP,2706,2589,2589,Male,1982
33,"Sjugirov, Sanan",RUS,2699,2569,2569,Male,1993
34,"Artemiev, Vladislav",RUS,2698,2799,2799,Male,1998
35,"Sevian, Samuel",USA,2698,2695,2695,Male,2000
36,"Amin, Bassem",EGY,2694,2670,2670,Male,1988
37,"Eljanov, Pavel",UKR,2694,2598,2598,Male,1983
38,"Shevchenko, Kirill",ROU,2694,2603,2603,Male,2002
39,"Tomashevsky, Evgeny",RUS,2694,2663,2663,Male,1987
40,"Van Foreest, Jorden",NED,2693,2633,2633,Male,1999
41,"Xiong, Jeffery",USA,2693,2726,2726,Male,2000
42,"Deac, Bogdan-Daniel",ROU,2693,2644,2644,Male,2001
43,"Sargissian, Gabriel",ARM,2692,2579,2579,Male,1983
44,"Anton Guijarro, David",ESP,2691,2618,2618,Male,1995
45,"Keymer, Vincent",GER,2690,2669,2669,Male,2004
46,Praggnanandhaa R,IND,2690,2623,2623,Male,2005
47,"Tabatabaei, M. Amin",IRI,2689,2586,2586,Male,2001
48,"Navara, David",CZE,2689,2675,2675,Male,1985
49,"Robson, Ray",USA,2689,2660,2660,Male,1994
50,Nihal Sarin,IND,2688,2689,2689,Male,2004
51,"Svidler, Peter",FID,2688,2689,2689,Male,1976
52,"Martirosyan, Haik M.",ARM,2685,2777,2777,Male,2000
53,"Sarana, Alexey",SRB,2685,2714,2714,Male,2000
54,"Grandelius, Nils",SWE,2684,2573,2573,Male,1993
